$Id: no_memory_minors.txt,v 1.2 1999/07/23 14:43:42 spreitze Exp $
    minor code       --- size range
decimal(hexadecimal) ---  decimal
-----------------------------------
1229717504(494c0000) --- 0.
1229717505(494c0001) --- [1 .. 1].
1229717506(494c0002) --- [2 .. 2].
1229717507(494c0003) --- [3 .. 3].
1229717508(494c0004) --- [4 .. 4].
1229717509(494c0005) --- [5 .. 5].
1229717510(494c0006) --- [6 .. 6].
1229717511(494c0007) --- [7 .. 7].
1229717512(494c0008) --- [8 .. 8].
1229717513(494c0009) --- [9 .. 9].
1229717514(494c000a) --- [10 .. 10].
1229717515(494c000b) --- [11 .. 11].
1229717516(494c000c) --- [12 .. 12].
1229717517(494c000d) --- [13 .. 13].
1229717518(494c000e) --- [14 .. 14].
1229717519(494c000f) --- [15 .. 15].
1229717520(494c0010) --- [16 .. 16].
1229717521(494c0011) --- [17 .. 17].
1229717522(494c0012) --- [18 .. 18].
1229717523(494c0013) --- [19 .. 19].
1229717524(494c0014) --- [20 .. 20].
1229717525(494c0015) --- [21 .. 21].
1229717526(494c0016) --- [22 .. 22].
1229717527(494c0017) --- [23 .. 23].
1229717528(494c0018) --- [24 .. 24].
1229717529(494c0019) --- [25 .. 25].
1229717530(494c001a) --- [26 .. 26].
1229717531(494c001b) --- [27 .. 27].
1229717532(494c001c) --- [28 .. 28].
1229717533(494c001d) --- [29 .. 29].
1229717534(494c001e) --- [30 .. 30].
1229717535(494c001f) --- [31 .. 31].
1229717536(494c0020) --- [32 .. 32].
1229717537(494c0021) --- [33 .. 33].
1229717538(494c0022) --- [34 .. 34].
1229717539(494c0023) --- [35 .. 35].
1229717540(494c0024) --- [36 .. 36].
1229717541(494c0025) --- [37 .. 37].
1229717542(494c0026) --- [38 .. 38].
1229717543(494c0027) --- [39 .. 39].
1229717544(494c0028) --- [40 .. 40].
1229717545(494c0029) --- [41 .. 41].
1229717546(494c002a) --- [42 .. 42].
1229717547(494c002b) --- [43 .. 43].
1229717548(494c002c) --- [44 .. 44].
1229717549(494c002d) --- [45 .. 45].
1229717550(494c002e) --- [46 .. 46].
1229717551(494c002f) --- [47 .. 47].
1229717552(494c0030) --- [48 .. 48].
